Date,symbol,Open,High,Low,Close,Volume,Stock,HA_Close,HA_Open,HA_High,HA_Low,EMA_HIGH,EMA_LOW,signal,position
2026-04-09 00:15:00,COINBASE:BTCUSD,71319.31,71366.49,71274.01,71274.01,44.4228979,BTCUSD,71308.455,71454.57047436401,71454.57047436401,71274.01,71648.82680528426,71493.64194546653,,SELL
2026-04-09 00:20:00,COINBASE:BTCUSD,71273.94,71273.94,71175.95,71200.54,65.16798339,BTCUSD,71231.0925,71381.512737182,71381.512737182,71175.95,71613.1233000191,71463.38556970781,,SELL
2026-04-09 00:25:00,COINBASE:BTCUSD,71200.55,71203.05,71082.02,71101.98,48.26423968,BTCUSD,71146.9,71306.302618591,71306.302618591,71082.02,71574.06870001728,71427.06503925945,,SELL
2026-04-09 00:30:00,COINBASE:BTCUSD,71101.76,71159.8,71008.53,71101.85,45.86607683,BTCUSD,71092.985,71226.6013092955,71226.6013092955,71008.53,71534.61453811087,71387.20455932998,,SELL
2026-04-09 00:35:00,COINBASE:BTCUSD,71101.85,71199.88,71040.82,71170.62,18.54323354,BTCUSD,71128.29250000001,71159.79315464775,71199.88,71040.82,71502.73505829078,71354.21555367952,,SELL
2026-04-09 00:40:00,COINBASE:BTCUSD,71170.62,71279.86,71170.62,71276.98,23.83600503,BTCUSD,71224.51999999999,71144.04282732388,71279.86,71144.04282732388,71481.50886226309,71336.7302628529,,SELL
2026-04-09 00:45:00,COINBASE:BTCUSD,71276.99,71300.0,71177.28,71234.0,25.97002095,BTCUSD,71247.0675,71184.28141366193,71300.0,71177.28,71464.22230395231,71321.54452353358,,SELL
2026-04-09 00:50:00,COINBASE:BTCUSD,71233.99,71271.65,71130.0,71210.94,17.30925661,BTCUSD,71211.645,71215.67445683097,71271.65,71130.0,71445.88208452828,71303.30218795895,,SELL
2026-04-09 00:55:00,COINBASE:BTCUSD,71210.94,71265.29,71127.33,71128.61,14.74984885,BTCUSD,71183.0425,71213.65972841549,71265.29,71127.33,71428.68283838272,71286.54293196286,,SELL
2026-04-09 01:00:00,COINBASE:BTCUSD,71128.61,71224.25,71068.09,71181.67,31.27797151,BTCUSD,71150.655,71198.35111420773,71224.25,71068.09,71409.21304425104,71265.73789082354,,SELL
2026-04-09 01:05:00,COINBASE:BTCUSD,71181.67,71354.0,71147.44,71319.42,31.16846614,BTCUSD,71250.63249999999,71174.50305710387,71354.0,71147.44,71403.95465908428,71254.47142503082,,SELL
2026-04-09 01:10:00,COINBASE:BTCUSD,71319.42,71328.37,71177.0,71314.26,34.87905931,BTCUSD,71284.7625,71212.56777855192,71328.37,71177.0,71396.75612012387,71247.0931940755,EXIT_SELL,
2026-04-09 01:15:00,COINBASE:BTCUSD,71314.25,71391.34,71286.41,71343.18,131.83716146,BTCUSD,71333.795,71248.66513927595,71391.34,71248.66513927595,71396.24029915969,71250.8376517826,,
2026-04-09 01:20:00,COINBASE:BTCUSD,71343.17,71386.03,71295.72,71313.99,97.97373793,BTCUSD,71334.72750000001,71291.23006963797,71386.03,71291.23006963797,71395.2678897159,71255.11216113663,,
2026-04-09 01:25:00,COINBASE:BTCUSD,71313.99,71343.58,71256.71,71331.51,24.62758256,BTCUSD,71311.44750000001,71312.97878481899,71343.58,71256.71,71390.34523355249,71255.26433626647,,
2026-04-09 01:30:00,COINBASE:BTCUSD,71333.0,71432.48,71315.94,71424.51,41.06738171,BTCUSD,71376.4825,71312.2131424095,71432.48,71312.2131424095,71394.35806845226,71261.04297090776,,
2026-04-09 01:35:00,COINBASE:BTCUSD,71422.4,71468.0,71388.0,71409.46,33.45719835,BTCUSD,71421.965,71344.34782120475,71468.0,71344.34782120475,71401.37158574251,71273.13411653558,BUY,BUY
2026-04-09 01:40:00,COINBASE:BTCUSD,71409.47,71463.12,71406.93,71450.21,30.11409496,BTCUSD,71432.4325,71383.15641060237,71463.12,71383.15641060237,71407.25238710037,71285.87658162744,,BUY
2026-04-09 01:45:00,COINBASE:BTCUSD,71450.2,71500.0,71450.2,71486.71,27.24971984,BTCUSD,71471.77750000001,71407.79445530119,71500.0,71407.79445530119,71416.08549309081,71301.52643099625,,BUY
2026-04-09 01:50:00,COINBASE:BTCUSD,71486.71,71486.71,71380.87,71447.92,14.79341373,BTCUSD,71450.5525,71439.78597765061,71486.71,71380.87,71422.81163660597,71309.08296137756,,BUY
2026-04-09 01:55:00,COINBASE:BTCUSD,71447.92,71464.91,71441.76,71455.29,14.41560939,BTCUSD,71452.47,71445.1692388253,71464.91,71441.76,71426.82100454826,71321.71886981779,,BUY
2026-04-09 02:00:00,COINBASE:BTCUSD,71455.29,71455.29,71387.19,71408.57,15.08346627,BTCUSD,71426.58499999999,71448.81961941265,71455.29,71387.19,71429.53233744841,71327.95421554943,EXIT_BUY,
2026-04-09 02:05:00,COINBASE:BTCUSD,71408.57,71408.58,71288.98,71371.68,18.86456558,BTCUSD,71369.4525,71437.70230970632,71437.70230970632,71288.98,71427.53687673905,71324.2423854971,,
2026-04-09 02:10:00,COINBASE:BTCUSD,71371.67,71379.97,71309.2,71315.5,11.6837611,BTCUSD,71344.085,71403.57740485316,71403.57740485316,71309.2,71423.00669800199,71322.80977735452,,
2026-04-09 02:15:00,COINBASE:BTCUSD,71315.5,71346.27,71282.24,71322.72,25.35566321,BTCUSD,71316.6825,71373.83120242658,71373.83120242658,71282.24,71415.69844104942,71318.94598903504,SELL,SELL
2026-04-09 02:20:00,COINBASE:BTCUSD,71322.71,71383.34,71315.94,71375.78,15.85505209,BTCUSD,71349.4425,71345.25685121329,71383.34,71315.94,71412.61668475899,71318.65970436504,EXIT_SELL,
2026-04-09 02:25:00,COINBASE:BTCUSD,71373.23,71390.87,71349.64,71387.32,13.21757638,BTCUSD,71375.265,71347.34967560665,71390.87,71347.34967560665,71410.5455719248,71321.61020871124,,
2026-04-09 02:30:00,COINBASE:BTCUSD,71387.32,71388.08,71336.75,71341.02,11.80380433,BTCUSD,71363.29250000001,71361.30733780333,71388.08,71336.75,71408.40599364624,71323.05209359588,,
2026-04-09 02:35:00,COINBASE:BTCUSD,71341.01,71477.71,71337.62,71471.63,27.38137804,BTCUSD,71406.9925,71362.29991890167,71477.71,71337.62,71415.00637520375,71324.43951325341,,
2026-04-09 02:40:00,COINBASE:BTCUSD,71471.63,71600.43,71471.63,71531.14,48.06275864,BTCUSD,71518.7075,71384.64620945083,71600.43,71384.64620945083,71432.6657680415,71338.45765484832,BUY,BUY
2026-04-09 02:45:00,COINBASE:BTCUSD,71530.15,71580.0,71530.15,71565.52,45.0732268,BTCUSD,71551.455,71451.67685472542,71580.0,71451.67685472542,71446.69759965659,71356.71406867229,,BUY
2026-04-09 02:50:00,COINBASE:BTCUSD,71565.53,71672.0,71553.88,71631.0,47.49708142,BTCUSD,71605.60250000001,71501.56592736271,71672.0,71501.56592736271,71468.15497111787,71375.49177641778,,BUY
2026-04-09 02:55:00,COINBASE:BTCUSD,71630.99,71766.61,71630.99,71678.14,52.42897086,BTCUSD,71676.68250000001,71553.58421368136,71766.61,71553.58421368136,71496.57925958284,71399.82494056846,,BUY
2026-04-09 03:00:00,COINBASE:BTCUSD,71678.03,71729.4,71582.0,71585.92,56.0392098,BTCUSD,71643.8375,71615.13335684068,71729.4,71582.0,71518.7526634321,71417.17494622861,,BUY
2026-04-09 03:05:00,COINBASE:BTCUSD,71585.91,71668.28,71582.2,71667.94,30.59543713,BTCUSD,71626.0825,71629.48542842033,71668.28,71582.2,71532.99336215285,71432.89161801637,,BUY
